"","vtitle","vpoint","vreview"
"1","시카리오: 데이 오브 솔다도","7","일본엔 진짜 이런 귀신이 살까"
"2","공조2: 인터내셔날","10","인생영화... 영화 보려고 극장 3번 간 적은 처음이에요 노래가 나올 때마다 눈물파티네요"
"3","옆집사람","8","이정도면 충분히 매력 있는 캐릭터들, DC 특유의 액션을 제대로 보여준 영화가 아닌가..."
"4","인생은 아름다워","10","독립영화지만 신선한소재재밌다"
"5","에브리씽 에브리웨어 올 앳 원스","10","어릴적 완전 인생영화일정도로최고인데 너무 감동적이지만너무 슬펐어서 펑펑운기억..때문에다시 보고싶은데....다시는 못볼것같아요ㅠㅠ 슬퍼서... ㅜ.ㅜ"
"6","자백","8","Friendly gesture!!!!"
"7","20세기 소녀","8","비틀기또 비틀기 비틀어서 처음과 맞물리기. 결국 아무 것도 모른다는 것을 깨닫기. 그렇게 영화를 파괴하면서 완성하기."
"8","살인청부업자","10","재미있게 보았습니다!"
"9","리멤버","10","영화 내내 긴장하며 집중했다"
"10","낮에는 덥고 밤에는 춥고","10","응~~~?어….와!!!허허허…온 우주의 상처를 치유하는 멀티버스 마데카솔 같은 영화다."
"11","시카리오: 데이 오브 솔다도","9",""
"12","공조2: 인터내셔날","10","추워지면 생각나는 영화 같아요"
"13","옆집사람","9","초반 스토리는 약간 수면제였으나 액션으로 커버 가능했음"
"14","인생은 아름다워","5","흑인녀 개발암!  머리끄댕이잡고 흔들고싶네"
"15","에브리씽 에브리웨어 올 앳 원스","10","배우들의 연기력이 ㅎㄷㄷ해서 시간가는 줄 모르고 완전 몰입해서 봤다. 특히 나나 배우님이 이렇게 연기 잘하시는 줄 몰라서 깜짝 놀랐음!"
"16","자백","8","좋아했던 원작이라 리메이크도 봤어요 볼만했고 마지막은 달라서 또 좋네요 분위기 자체는 원작이 더 좋은듯합니다 그래도 추천"
"17","20세기 소녀","7","자파는 여기서도 못되 쳐먹게 나오는구만! 닥터 페이트 멋있다 ㅠㅠ"
"18","살인청부업자","10","평점이 낮아 기대없이 봤는데 정말 재미있게 봤다. 우리나라 SF의 희망을 봤다. 초반 설정부분만 잘 이해하면 재미있게 볼 수 있는 영화이다"
"19","리멤버","10","인생 영화.. 너무 인상 깊고 재미 있어요ㅠ 2시간 40분짜리 영화지만 그것마저 너무 아쉽게 느껴짐!"
"20","낮에는 덥고 밤에는 춥고","2","샤를리즈 테론 데리고 넘나 유치 뽕짝.. 하.. 애지간해서 영화 욕 안하는데.. 영상미는 있더라..0"
"21","시카리오: 데이 오브 솔다도","10","주기적으로 생각날때마다 봐도 재밌는 영화"
"22","공조2: 인터내셔날","10","존잼이런 SF영화류 좀 많이 나왔으면 좋겠다"
"23","옆집사람","6","범인은 바로... 눈의 꽃"
"24","인생은 아름다워","10","오랜만에 감동적이었어요."
"25","에브리씽 에브리웨어 올 앳 원스","10","이게 당최 뭔 영화냐 싶다가 마지막에 눈물콧물 다 쏟고옴"
"26","자백","10","이상민 남주혁 연기 잘하고 뭔가 생각보다 잼나고 슬펐어요"
"27","20세기 소녀","2","누가 주인공인건지 모르겠음 약간 마녀 비스무리하게 만들었는데 작품성은 극과극"
"28","살인청부업자","7","그저그런 싱거운 영화인 줄 알았는데 감독 유명세 보고 다시 봤네"
"29","리멤버","10","소설 원작이 주는 단단한 스토리와 멋진 연기 그리고 씩스센스급 반전의 결말 모처럼 영화다운 영화를 보았네요"
"30","낮에는 덥고 밤에는 춥고","7","원작 영화를 봤을때 느꼈던 충격은 없었지만 그냥 무난하게 재밌었음.. 이게 현실인지 리콜인지 생각하면서 보면 좀더 볼만함"
"31","시카리오: 데이 오브 솔다도","8","재밌다! 나나 이쁘고 연기 잘함"
"32","공조2: 인터내셔날","10",""
"33","옆집사람","2","웃는 얼굴이 기이하다."
"34","인생은 아름다워","10","별기대안하고 봤는데 잔잔하니 좋아요"
"35","에브리씽 에브리웨어 올 앳 원스","2","여주가 연기를 잘함 진짜 욕나올정도로 잘함 그리고 왜 여주인공위주의 영화는 성공할 수 없는지 잘 보여줌문제가 닥치면 해결하기위해서 힘을써야하는데 감정싸움하다가 골든타임 다 놓침나였으면 악령인지 귀신인지 트라우마한테 매우 화나서 그냥 죽여버렸을듯"
"36","자백","10","영화를 둘러싼 모든 요소들이 완벽합니다! 기다린 보람이 있어요 올해 본 영화 중 원픽이에요!"
"37","20세기 소녀","8","영화의 내용은 ‘살인청부업자: 악은 악으로 처단한다’ 제목으로 전체적인 내용을 예상할 수 있었다. 창의적인 내용, 치밀한 연출은 없었지만, 연기자들의 연기 가운데... 애쓰고 노력함이 느껴졌다. 권력과 돈을 위해서라면 살인도 서슴치 않았던 시의원 설민을 향해 기술자(살인청부업자)의 이 대사가 마음에 남는다. “배운 놈이나 못 배운 놈이나 가진 놈이나 못 가진 놈이나 죽음 앞에선 다 쓸모없는거잖아.” 어차피 죽는데 왜 더 가지려고 하지? 어차피 죽는데 왜 더 높아지려고 하지? 남을 밟아가면서..."
"38","살인청부업자","6","영화의 교훈: 엄마 말을 잘 듣자"
"39","리멤버","7","감독판 보고  있는데 어떤게 사실이고 어떤게 망상인지 설경구보다도 내가 더 헷갈리는 중... 와, 설경구랑 김남길 진짜 처절하게 싸운다. 결론보고 평점 1점 깍는다. 중국 영화냐? 갑자기 말도 안되는 반전은 뭐냐???"
"40","낮에는 덥고 밤에는 춥고","9","걍 재밌다 ㅈㄴ  카메론!"
"41","시카리오: 데이 오브 솔다도","7","허름하고 때로는 짐이되어서 부서지지만 결국 돌아가고 감내해야할 집. 우리집, 우리가족"
"42","공조2: 인터내셔날","10","얼치기에 인물없는 류준열의 극한 서사"
"43","옆집사람","9","예전 영화들을 보다보면 이시대에 어떻게 이런걸 찍었지? 싶은 영화들이 있는데 이것도 그렇다. 조그만 브라운관으로 tv를 보는 시대에 이런 비주얼이라니. B급향이 물씬나는 기괴한 상상력을 스크린에 그대로 옮겨놨다. 풍자도 시대를 초월해 (혹은 시대가 발전이 없던지) 지금 세태라고 해도 크게 어색함이 없다. 바로 작년 영화인 돈룩업도 잘 만든 풍자 영화임에도 딱히 밀리지 않는다. 경박한 화성인을 내세워 시종일관 권위를 조롱하고 클리셰를 비틀고 세상을 풍자하던 영화는 정치인, 매파 군인, 비둘기파 과학자, 아무튼 그 어떤 권력자도 아닌 할머니를 위하는 손자와 할머니의 컨트리 음악으로 침략자를 퇴치하며 마무리 짓는다. 평범한 이들과 감독의 유년시절 문화들에 경의를 표하는 유쾌한 b급 호러 코미디 영화."
"44","인생은 아름다워","2","하고 싶은 말이 뭔지도 모르겠고 기괴함과 잔인함만 남네요...분명 배우들은 훌륭한데 그래도 영화를 살리지는 못한 것 같습니다."
"45","에브리씽 에브리웨어 올 앳 원스","10","나라는 가치를 허무주의로 일깨워주고, 돌덩이들의 대화로 나를 울렸다.보잘것 없는 나에겐 다정함이 있고, 가족이란 사람은 괴로움과 동시에 거대한 행복을 느끼게 해준다."
"46","자백","4","맹시니가 좋아해요 체리따봉"
"47","20세기 소녀","5","볼 만했는데 김윤진 배우 톤이 거슬려요"
"48","살인청부업자","4","아깝다 내돈  물러다오  제발"
"49","리멤버","10","감동였어요.생각할 거리가 많네요~~♡♡"
"50","낮에는 덥고 밤에는 춥고","10","완전 만점짤 영화!!!!2006년 개봉영화라고 믿기지 않는....첨부터 끝까지 긴장하고 본 영화중 하나!!!!""국민이 정부를 두려워하면 안 된다. 정부가 국민을 두려워해야 한다.”요즘 한국사회에서 보여주고 잊지말아야 할 것!!"
"51","시카리오: 데이 오브 솔다도","10",""
"52","공조2: 인터내셔날","2","최악 마녀 외전 마남정도그냥 마녀 아류작 초반만 봐줄만함  초반 지나 갑자기 뒤죽박죽"
"53","옆집사람","1","최악이다 중학생이 감독한줄 알았다 너무 유치하고 뻔 스토리"
"54","인생은 아름다워","10","영화로 할 수 있는 모든 요소를 다 때려박은 작품 그런데 그게 다 최고수준이었다"
"55","에브리씽 에브리웨어 올 앳 원스","8","군대에서 별사탕을 주는 이유"
"56","자백","9","인비저블 게스트를 안 봐서 모르겠지만 연기, 스토리가 미쳤다. 반전은 괜찮았고 범인은 예측이 가능했지만 그걸 빼면 볼때마다 긴장감 있게 잘 살려냈다."
"57","20세기 소녀","6","스크림 1편은 다시 봐도 인상적인 명작이라 범인도 기억나고 알고봐도 재밌는 반면, 2편은 역시 속편의 법칙에서 크게 벗어나지 못한 범작"
"58","살인청부업자","10","내 인생의 최고의 영화힘들때 보는 영화"
"59","리멤버","10","누구의 몸값은 점점 내려가고 누구의 몸값은 점점 올라가고? 사람에게 몸값이 매겨질 수 있다고? 그런데 그런 현실이 실재하고 있네. ""도끼로 마빡을 찍든 식칼로 배때지를 쑤시든 고깃값을 번다, 뭐 이런 자본주의적인 개념으로 나가야지..."" 얼마든지 하찮게 추락할 수 있는 것이 또한 현실의 사람 몸값. 사람이 사람을 존중하지 않으면 그 사람은 한낱 미물과 다를 것이 없더라. 서로 대비되는 처녀성의 몸값과 장기 밀매의 몸값 흥정. 이 영화에서 가장 뚜렷하게 남는 이야기로 와 닿는다."
"60","낮에는 덥고 밤에는 춥고","8","김구의 머리로안중근의 가슴으로윤봉길의 손으로친일파를 척살한다"
"61","시카리오: 데이 오브 솔다도","10","디스 이즈 시네마"
"62","공조2: 인터내셔날","10","평점이 생각보다 낫네요. 나름 긴장감 있습니다"
"63","옆집사람","10","이성민 배우 연기가 진짜 압권인 영화.. 보면서 깜짝 놀랐어요"
"64","인생은 아름다워","4","임시완이 살린 영화 아닌가 싶다...."
"65","에브리씽 에브리웨어 올 앳 원스","7","“자연에 선과 악은 없다고 생각해요 그저 살아남기 위한거죠”"
"66","자백","8",""
"67","20세기 소녀","7","이성민 배우의 연기가 최고에요. 함께 호흡하는 남주혁이나 다른 배우분들도 마찬가지고.. 청산하지 못한 친일파, 청산하지 못한 역사를 한 캐릭터에 투영한 스토리라 마음 무겁게 보기도 했네요."
"68","살인청부업자","10","재미있음 배트맨+베놈+뱀파이어혼종이지만 악평이 많아서 걱정했는데 생각보다 괜찮음,여주지인공 이쁨,쿠키영상 흥미진진!"
"69","리멤버","8","세명중 양현민 연기는 진짜무당같았다마무리가좀아쉽"
"70","낮에는 덥고 밤에는 춥고","8","전 너무 재밌게 봤어요 우울하시고 눈물흘리고 싶으신 분께 추천 드립니다 ^^ 더 흥행했으면 좋겠네요"
"71","시카리오: 데이 오브 솔다도","6","파리에 가면 루카스 브라보를 만날수 있는건가"
"72","공조2: 인터내셔날","10","지루할 틈이 없고 잼있네요 ㅎ"
"73","옆집사람","8","이중반전이 있습니다.나나가 저리 예뻤나?"
"74","인생은 아름다워","7","얼마나 유치할까 싶었는데 기대치가 없어서 그랬는지 뻘하게 터지고 재밌네요 그리고.. 샤오팡.... 춤 실력 여기서도....!! ㅎㅎ"
"75","에브리씽 에브리웨어 올 앳 원스","10","초반에는 정신없이 재밌다가 나중에 정말 많이 울었어요 올해 본 영화 중에 손에 꼽게 좋았습니다!"
"76","자백","10","워..너무재밌었어요진짜"
"77","20세기 소녀","8","잔잔한 그때의 90년대 감성을 자극한다."
"78","살인청부업자","10","한시도 심심한 틈이 없네요"
"79","리멤버","8","평점 보고 기대 안하고 봤는데 생각보다 재미있었음... 부부도사 화이팅!"
"80","낮에는 덥고 밤에는 춥고","7","예상가는 이야기지만 보기 편하고 옷구경하는 재미가 있어용"
"81","시카리오: 데이 오브 솔다도","9","영상, 연출, 음악, 스토리 모두 완벽한 드림웍스의 애니메이션.동물(수인)이 주인공인 애니메이션이 주로 이용하는 종간의 갈등(선입견)을 배경으로 이야기 삼으며 악당들의 개과천선을 보여줍니다. 이 사이에 곁들어진 친구들과의 우정과 고전적인 반전 클리셰를 훌륭히 보여줍니다. 추후 시리즈화 되었으면 좋겠습니다."
"82","공조2: 인터내셔날","1","정치적 목적 담으려고 한거 같은데 무엇보다 영화감독한테 제일 열이 받는다."
"83","옆집사람","6","갱년기 엄마와 사춘기 딸과의 불화"
"84","인생은 아름다워","10","사회의 다양한 모습을 흥미롭게 조망한다. 오랫만에 즐거운 관람을 한 것 같다."
"85","에브리씽 에브리웨어 올 앳 원스","8","리메이크작이지만 재밌게 봤습니다~"
"86","자백","10","영상미도 너무 아름답고 감탄하면서, 오랜만에 몰입하면서 본 웰메이드 영화"
"87","20세기 소녀","8","가장 지루한 주제를 가장 유치한 방법으로 가장 안유치하게 표현한 영화"
