"","vtitle","vcategory"
"1","尹 지지율 29%···대구·경북 '잘못한다 47%' '잘한다 45%'","경제"
"2","매몰자 가족들, ""아버지 꼭 살아서 돌아오세요""","사회"
"3","與 비대위, '이태원 사고 특위' 구성…7일 참사 현장 방문","정치"
"4","러 부총리 ""크름대교 내달 5일부터 순차 운행 재개 목표""","국제"
"5","참사 현장에 마약수사대가 먼저...대통령 발언 이후 마약수사 집중","사회"
"6","""위조된 입양서류 들고 한국에 왔다…한국인 생모를 드디어 만났다""","국제"
"7","“대통령 사과해야”···민주노총, 12일 광화문 10만명 집회","경제"
"8","대한항공-아시아나 합병, LCC에겐 기회?…이유는","경제"
"9","바이든, 재선 도전할까?…중간선거 결과에 답이 있다","국제"
"10","“빵값 커피값 더 오르겠네”...원유기본가 ℓ당 49원↑","경제"
"11","특급호텔 뷔페 한끼 20만원...예약은 ‘하늘의 별따기’","경제"
"12","경찰 이어 용산구청장 때리는 與 “국민 눈높이 안맞아”","정치"
"13","尹, 獨 슈타인마이어 정상회담 ""北 중대 도발 시 국제 단합 대응""","정치"
"14","부동산 공시가 개편 1년 미룬다…""내년 현실화율은 동결""","경제"
"15","먼저 대출 받고 투자 받아 상환…선진 벤처금융 도입 ""돈맥경화 푼다""","경제"
"16","세종, 송도, 포항... 정부에 항의하는 시민들, 릴레이 현수막","사회"
"17","현무 낙탄 사고, '비행 측정 센서' 또는 '데이터 통신' 비정상 추정","정치"
"18","‘이태원 참사’ 병원 이송에 평균 2시간 34분…현장에선 무슨 일이?","사회"
"19","하루 5끼에 간식까지 먹던 ‘대식가’ 의사, 3년만에 35kg 뺐다… 비결은?","문화"
"20","""조금만 더 견뎌주세요""…봉화 광산사고 애타는 가족들 손편지","사회"
